Reaction,EC-Number,Substrates,Products of reaction,Enzymes of a reaction,Genes of a reaction,Pathways of a reaction
"6-(hydroxymethyl)-7,8-dihydropterin + ATP  ->  (7,8-dihydropterin-6-yl)methyl diphosphate + AMP + H+",EC-2.7.6.3,"ATP // 6-(hydroxymethyl)-7,8-dihydropterin // H<SUP>+</SUP> // (7,8-dihydropterin-6-yl)methyl diphosphate // AMP","H<SUP>+</SUP> // (7,8-dihydropterin-6-yl)methyl diphosphate // AMP",2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase,folK,6-hydroxymethyl-dihydropterin diphosphate biosynthesis I
a [lipoyl-carrier protein]-L-lysine + ATP + (R)-lipoate  ->  a [lipoyl-carrier protein]-N6-[(R)-lipoyl]-L-lysine + AMP + diphosphate + H+,EC-6.3.1.20,ATP // (<i>R</i>)-lipoate // a [lipoyl-carrier protein]-L-lysine // a [lipoyl-carrier protein]-<i>N<sup>6</sup></i>-[(<i>R</i>)-lipoyl]-L-lysine // AMP // diphosphate // H<SUP>+</SUP>,a [lipoyl-carrier protein]-<i>N<sup>6</sup></i>-[(<i>R</i>)-lipoyl]-L-lysine // AMP // diphosphate // H<SUP>+</SUP>,lipoate&mdash;protein ligase A,lplA,lipoate salvage I
a [protein]-L-tyrosine phosphate + H2O  ->  a [protein]-L-tyrosine + phosphate,EC-3.1.3.48,H<sub>2</sub>O // a [protein]-L-tyrosine phosphate // phosphate // a [protein]-L-tyrosine,phosphate // a [protein]-L-tyrosine,phosphotyrosine-protein phosphatase Etp // protein-tyrosine phosphatase // phosphoprotein phosphatase 2 // phosphoprotein phosphatase 1,pphA // pphB // wzb // etp,
initiator tRNAMet + L-methionine + ATP  ->  L-methionyl-[initiator tRNAMet] + AMP + diphosphate,EC-6.1.1.10,ATP // L-methionine // initiator tRNA<sup>Met</sup> // an L-methionyl-[initiator tRNA<SUP>Met</SUP>] // diphosphate // AMP,an L-methionyl-[initiator tRNA<SUP>Met</SUP>] // diphosphate // AMP,methionine&mdash;tRNA ligase,metG,tRNA charging
1-methyl-dAMP + 2-oxoglutarate + dioxygen  ->  dAMP + formaldehyde + succinate + CO2,EC-1.14.11.33,dioxygen // 2-oxoglutarate // 1-methyl-dAMP // dAMP // formaldehyde // succinate // CO<SUB>2</SUB>,dAMP // formaldehyde // succinate // CO<SUB>2</SUB>,DNA oxidative demethylase,alkB,
D-sedoheptulose 7-phosphate + D-glyceraldehyde 3-phosphate  <-->  beta-D-fructofuranose 6-phosphate + D-erythrose 4-phosphate,EC-2.2.1.2,D-glyceraldehyde 3-phosphate // D-sedoheptulose 7-phosphate // &beta;-D-fructofuranose 6-phosphate // D-erythrose 4-phosphate,&beta;-D-fructofuranose 6-phosphate // D-erythrose 4-phosphate,transaldolase A // transaldolase B,talB // talA,pentose phosphate pathway (non-oxidative branch) I
an N-acetyl-beta-D-hexosaminide + H2O  ->  an N-acetyl-beta-D-hexosamine + an alcohol,EC-3.2.1.52,H<sub>2</sub>O // an <i>N</i>-acetyl-&beta;-D-hexosaminide // an <i>N</i>-acetyl-&beta;-D-hexosamine // an alcohol,an <i>N</i>-acetyl-&beta;-D-hexosamine // an alcohol,,,
sn-glycerol 3-phosphate + NAD(P)+  <-  glycerone phosphate + NAD(P)H + H+,EC-1.1.1.94,<i>sn</i>-glycerol 3-phosphate // NAD(P)<sup>+</sup> // NAD(P)H // glycerone phosphate // H<SUP>+</SUP>,NAD(P)<sup>+</sup> // <i>sn</i>-glycerol 3-phosphate,"glycerol-3-phosphate dehydrogenase, biosynthetic",gpsA,CDP-diacylglycerol biosynthesis I // CDP-diacylglycerol biosynthesis II
a cytidine34 in [elongator tRNAmet] + ATP + acetyl-CoA + H2O  ->  an N4-acetylcytidine34 in [elongator tRNAmet] + ADP + coenzyme A + phosphate + H+,EC-2.3.1.193,H<sub>2</sub>O // acetyl-CoA // ATP // a cytidine<sup>34</sup> in [elongator tRNA<sup>met</sup>] // an <i>N</i><sup>4</sup>-acetylcytidine<sup>34</sup> in [elongator tRNA<sup>met</sup>] // ADP // phosphate // coenzyme A // H<SUP>+</SUP>,an <i>N</i><sup>4</sup>-acetylcytidine<sup>34</sup> in [elongator tRNA<sup>met</sup>] // ADP // phosphate // coenzyme A // H<SUP>+</SUP>,tRNA<sup>Met</sup> cytidine acetyltransferase,tmcA,
"a [protein]-Npi-phospho-L-histidine + 2-phospho-D-glycerate  <-->  a [protein]-L-histidine + 2,3-diphospho-D-glycerate",,"2-phospho-D-glycerate // a [protein]-<i>N<sup>&pi;</sup></i>-phospho-L-histidine // a [protein]-L-histidine // 2,3-diphospho-D-glycerate","a [protein]-L-histidine // 2,3-diphospho-D-glycerate","2,3-bisphosphoglycerate-dependent phosphoglycerate mutase",gpmA,
ATP + FMN + H+  <-->  FAD + diphosphate,EC-2.7.7.2,H<SUP>+</SUP> // ATP // FMN // FAD // diphosphate,FAD // diphosphate,bifunctional riboflavin kinase / FMN adenylyltransferase,ribF,flavin biosynthesis I (bacteria and plants)
a [protein]-(L-serine/L-threonine) + ATP  ->  an O-(5'-adenylyl)-L-serine/L-threonine-[protein] + diphosphate,EC-2.7.7.108,ATP // a [protein]-(L-serine/L-threonine) // an <i>O</i>-(5'-adenylyl)-L-serine/L-threonine-[protein] // diphosphate,an <i>O</i>-(5'-adenylyl)-L-serine/L-threonine-[protein] // diphosphate,protein adenylyltransferase SelO,selO,
ammonia + H+  <-->  ammonium,,H<SUP>+</SUP> // ammonia // ammonium,ammonium,,,
N-acetyl-alpha-D-glucosamine 1-phosphate + UTP + H+  ->  UDP-N-acetyl-alpha-D-glucosamine + diphosphate,EC-2.7.7.23,UTP // <i>N</i>-acetyl-&alpha;-D-glucosamine 1-phosphate // H<SUP>+</SUP> // UDP-<i>N</i>-acetyl-&alpha;-D-glucosamine // diphosphate,UDP-<i>N</i>-acetyl-&alpha;-D-glucosamine // diphosphate,fused N-acetylglucosamine-1-phosphate uridyltransferase and glucosamine-1-phosphate acetyltransferase,glmU,peptidoglycan recycling I // UDP-<i>N</i>-acetyl-D-glucosamine biosynthesis I
glycerone phosphate[periplasm] + H2O[periplasm]  ->  dihydroxyacetone[periplasm] + phosphate[periplasm],EC-3.1.3,H<sub>2</sub>O // glycerone phosphate // dihydroxyacetone // phosphate,dihydroxyacetone // phosphate,alkaline phosphatase,phoA,
a beta-D glucoside[periplasm] + H2O[periplasm]  ->  non glucosylated D-glucose acceptor[periplasm] + D-glucopyranose[periplasm],EC-3.2.1.21,H<sub>2</sub>O // a &beta;-D glucoside // a non glucosylated D-glucose acceptor // D-glucopyranose,a non glucosylated D-glucose acceptor // D-glucopyranose,,,
"enterobactin + H2O  ->  N-(2,3-dihydroxybenzoyl)-L-serine trimer + H+",EC-3.1.1.107,"H<sub>2</sub>O // enterobactin // <i>N</i>-(2,3-dihydroxybenzoyl)-L-serine trimer // H<SUP>+</SUP>","<i>N</i>-(2,3-dihydroxybenzoyl)-L-serine trimer // H<SUP>+</SUP>",ferric enterobactin esterase,fes,
3-deoxy-D-arabino-heptulosonate 7-phosphate  ->  3-dehydroquinate + phosphate,EC-4.2.3.4,3-deoxy-D-arabino-heptulosonate 7-phosphate // phosphate // 3-dehydroquinate,phosphate // 3-dehydroquinate,3-dehydroquinate synthase,aroB,3-dehydroquinate biosynthesis I
aldehydo-D-glucose + L-glutamine  ->  N-(1-deoxy-D-fructos-1-yl)-L-glutamine + H2O,,L-glutamine // <i>aldehydo</i>-D-glucose // <i>N</i>-(1-deoxy-D-fructos-1-yl)-L-glutamine // H<sub>2</sub>O,<i>N</i>-(1-deoxy-D-fructos-1-yl)-L-glutamine // H<sub>2</sub>O,,,
dATP + 2 hydroxyl radical  ->  2-hydroxy-dATP + H2O,,hydroxyl radical // dATP // 2-hydroxy-dATP // H<sub>2</sub>O,2-hydroxy-dATP // H<sub>2</sub>O,,,
oxaloacetate + ATP  <-->  CO2 + phosphoenolpyruvate + ADP,EC-4.1.1.49,ATP // oxaloacetate // CO<SUB>2</SUB> // phospho<i>enol</i>pyruvate // ADP,CO<SUB>2</SUB> // phospho<i>enol</i>pyruvate // ADP,phosphoenolpyruvate carboxykinase (ATP),pck,gluconeogenesis I
2 nitric oxide + NAD(P)H + 2 dioxygen  ->  2 nitrate + NAD(P)+ + H+,EC-1.14.12.17,dioxygen // nitric oxide // NAD(P)H // NAD(P)<sup>+</sup> // nitrate // H<SUP>+</SUP>,NAD(P)<sup>+</sup> // nitrate // H<SUP>+</SUP>,nitric oxide dioxygenase,hmp,
a guanine1207 in 16S rRNA + S-adenosyl-L-methionine  ->  S-adenosyl-L-homocysteine + an N2-methylguanine1207 in 16S rRNA + H+,EC-2.1.1.172,a guanine<sup>1207</sup> in 16S rRNA // <i>S</i>-adenosyl-L-methionine // <i>S</i>-adenosyl-L-homocysteine // an <i>N</i><sup>2</sup>-methylguanine<sup>1207</sup> in 16S rRNA // H<SUP>+</SUP>,<i>S</i>-adenosyl-L-homocysteine // an <i>N</i><sup>2</sup>-methylguanine<sup>1207</sup> in 16S rRNA // H<SUP>+</SUP>,16S rRNA m<sup>2</sup>G1207 methyltransferase,rsmC,
[IscS]2[IscU-[1Fe-1S] cluster]2 + 2 [IscU-Fe2+]  ->  [IscS]2[IscU-Fe2+]2 + 2 [IscU iron-sulfur cluster scaffold protein carrying a [1Fe-1S]0 cluster],,an IscU iron-sulfur cluster scaffold protein carrying an Fe<sup>2+</sup> atom // an [IscS L-cysteine desulfurase dimer][an IscU iron-sulfur cluster scaffold protein carrying an 1Fe-1S cluster]<sub>2</sub> // an [IscS L-cysteine desulfurase dimer][an IscU iron-sulfur cluster scaffold protein carrying an Fe<sup>2+</sup> atom]<sub>2</sub> // an [IscU iron-sulfur cluster scaffold protein carrying a [1Fe-1S]<sup>0</sup> cluster],an [IscS L-cysteine desulfurase dimer][an IscU iron-sulfur cluster scaffold protein carrying an Fe<sup>2+</sup> atom]<sub>2</sub> // an [IscU iron-sulfur cluster scaffold protein carrying a [1Fe-1S]<sup>0</sup> cluster],,,[2Fe-2S] iron-sulfur cluster biosynthesis (bacterial IscS system)
N6-(1-deoxy-D-fructos-1-yl)-L-lysine + ATP  ->  N6-(1-deoxy-6-O-phospho-D-fructos-1-yl)-L-lysine + ADP + H+,EC-2.7.1.218,ATP // <i>N</i><sup>6</sup>-(1-deoxy-D-fructos-1-yl)-L-lysine // H<SUP>+</SUP> // <i>N</i><sup>6</sup>-(1-deoxy-6-<i>O</i>-phospho-D-fructos-1-yl)-L-lysine // ADP,H<SUP>+</SUP> // <i>N</i><sup>6</sup>-(1-deoxy-6-<i>O</i>-phospho-D-fructos-1-yl)-L-lysine // ADP,fructoselysine 6-kinase,frlD,fructoselysine and psicoselysine degradation
glycolate + NADP+  <-  glyoxylate + NADPH + H+,EC-1.1.1.79,NADP<sup>+</sup> // glycolate // H<SUP>+</SUP> // NADPH // glyoxylate,glycolate // NADP<sup>+</sup>,glyoxylate reductase // glyoxylate/hydroxypyruvate reductase A,ghrA // ghrB,
"[EntF L-seryl-carrier protein] + coenzyme A  ->  holo-[EntF L-seryl-carrier protein] + adenosine 3',5'-bisphosphate + H+",EC-2.7.8.7,"coenzyme A // an <i>apo</i>-[EntF L-seryl-carrier protein] // a <i>holo</i>-[EntF L-seryl-carrier protein] // adenosine 3',5'-bisphosphate // H<SUP>+</SUP>","a <i>holo</i>-[EntF L-seryl-carrier protein] // adenosine 3',5'-bisphosphate // H<SUP>+</SUP>",phosphopantetheinyl transferase EntD,entD,enterobactin biosynthesis
D-ribulose 5-phosphate  ->  1-deoxy-L-glycero-tetrulose 4-phosphate + formate + H+,EC-4.1.99.12,D-ribulose 5-phosphate // H<SUP>+</SUP> // 1-deoxy-L-glycero-tetrulose 4-phosphate // formate,H<SUP>+</SUP> // 1-deoxy-L-glycero-tetrulose 4-phosphate // formate,"3,4-dihydroxy-2-butanone-4-phosphate synthase",ribB,flavin biosynthesis I (bacteria and plants)
a [DNA ligase]-L-lysine + NAD+  ->  a [DNA ligase]-N6-(5'-adenylyl)-L-lysine + beta-nicotinamide D-ribonucleotide + 2 H+,,a [DNA ligase]-L-lysine // NAD<sup>+</sup> // a [DNA ligase]-<i>N</i><sup>6</sup>-(5'-adenylyl)-L-lysine // &beta;-nicotinamide D-ribonucleotide // H<SUP>+</SUP>,a [DNA ligase]-<i>N</i><sup>6</sup>-(5'-adenylyl)-L-lysine // &beta;-nicotinamide D-ribonucleotide // H<SUP>+</SUP>,DNA ligase // DNA ligase B,ligB // ligA,
a siderophore-bound Fe(II) + H+  ->  a siderophore + Fe2+,,H<SUP>+</SUP> // a siderophore-bound Fe(II) // a siderophore // Fe<sup>2+</sup>,a siderophore // Fe<sup>2+</sup>,,nfeF,
fumarate + a menaquinol[inner membrane]  <-->  succinate + a menaquinone[inner membrane],EC-1.3.5.1,fumarate // a menaquinol // a menaquinone // succinate,a menaquinone // succinate,fumarate reductase flavoprotein subunit // fumarate reductase [Fe-S] protein // fumarate reductase membrane protein FrdC // fumarate reductase membrane protein FrdD,frdD // frdC // frdB // frdA,mixed acid fermentation // hydrogen to fumarate electron transfer // glycerol-3-phosphate to fumarate electron transfer // NADH to fumarate electron transfer
a cytidine2498 in 23S rRNA + S-adenosyl-L-methionine  ->  a 2-O-methylcytidine2498 in 23S rRNA + S-adenosyl-L-homocysteine + H+,EC-2.1.1.186,a cytidine<sup>2498</sup> in 23S rRNA // <i>S</i>-adenosyl-L-methionine // a 2-<i>O</i>-methylcytidine<sup>2498</sup> in 23S rRNA // <i>S</i>-adenosyl-L-homocysteine // H<SUP>+</SUP>,a 2-<i>O</i>-methylcytidine<sup>2498</sup> in 23S rRNA // <i>S</i>-adenosyl-L-homocysteine // H<SUP>+</SUP>,23S rRNA 2'-<i>O</i>-ribose C2498 methyltransferase,rlmM,
adenosine + phosphate  <-->  alpha-D-ribose-1-phosphate + adenine,EC-2.4.2.1,phosphate // adenosine // &alpha;-D-ribose-1-phosphate // adenine,&alpha;-D-ribose-1-phosphate // adenine,nucleoside phosphorylase PpnP // purine nucleoside phosphorylase YfiH // purine nucleoside phosphorylase,yfiH // deoD // ppnP,purine ribonucleosides degradation // adenine and adenosine salvage V // adenine and adenosine salvage III
"4-deoxy-4-formamido-alpha-L-arabinopyranosyl ditrans,octacis-undecaprenyl phosphate + H2O  ->  4-amino-4-deoxy-alpha-L-arabinopyranosyl ditrans,octacis-undecaprenyl phosphate + formate",,"H<sub>2</sub>O // 4-deoxy-4-formamido-&alpha;-L-arabinopyranosyl <i>ditrans,octacis</i>-undecaprenyl phosphate // 4-amino-4-deoxy-&alpha;-L-arabinopyranosyl <i>ditrans,octacis</i>-undecaprenyl phosphate // formate","4-amino-4-deoxy-&alpha;-L-arabinopyranosyl <i>ditrans,octacis</i>-undecaprenyl phosphate // formate",putative 4-deoxy-4-formamido-L-arabinose-phosphoundecaprenol deformylase ArnD,arnD,polymyxin resistance
"L-galactono-1,4-lactone + H2O  <-->  L-galactonate + H+",EC-3.1.1,"H<sub>2</sub>O // L-galactono-1,4-lactone // L-galactonate // H<SUP>+</SUP>",L-galactonate // H<SUP>+</SUP>,L-galactono-gamma-lactonase / D-galactono-gamma-lactonase / gluconolactonase,,
3-oxo-palmitoyl-[acyl-carrier protein] synthase,EC-2.3.1.179 // EC-2.3.1.41,H<SUP>+</SUP> // a malonyl-[acp] // a myristoyl-[acp] // a 3-oxohexadecanoyl-[acp] // CO<SUB>2</SUB> // a soluble [acyl-carrier protein],a 3-oxohexadecanoyl-[acp] // CO<SUB>2</SUB> // a soluble [acyl-carrier protein],3-oxoacyl-[acyl carrier protein] synthase 1 // 3-oxoacyl-[acyl carrier protein] synthase 2,fabB,palmitate biosynthesis II (type II fatty acid synthase)
"a 2,3,4-saturated (3S)-3-hydroxyacyl-CoA + NAD+  <-->  a 2,3,4-saturated 3-oxoacyl-CoA + NADH + H+",EC-1.1.1.35,"a 2,3,4-saturated (3<i>S</i>)-3-hydroxyacyl-CoA // NAD<sup>+</sup> // NADH // a 2,3,4-saturated 3-oxoacyl-CoA // H<SUP>+</SUP>","NADH // a 2,3,4-saturated 3-oxoacyl-CoA // H<SUP>+</SUP>",anaerobic multifunctional fatty acid oxidation complex subunit alpha // multifunctional fatty acid oxidation complex subunit alpha,fadB // fadJ,fatty acid &beta;-oxidation I (generic)
L-aspartate + L-citrulline + ATP  ->  L-arginino-succinate + AMP + diphosphate + H+,EC-6.3.4.5,ATP // L-citrulline // L-aspartate // H<SUP>+</SUP> // L-arginino-succinate // diphosphate // AMP,H<SUP>+</SUP> // L-arginino-succinate // diphosphate // AMP,argininosuccinate synthetase,argG,L-arginine biosynthesis I (via L-ornithine)
AMP[periplasm] + H2O[periplasm]  ->  adenosine[periplasm] + phosphate[periplasm],EC-3.1.3.5,H<sub>2</sub>O // AMP // adenosine // phosphate,adenosine // phosphate,alkaline phosphatase // acid phosphatase / phosphotransferase,phoA,adenosine nucleotides degradation II
adenylyl-molybdopterin + molybdate  ->  AMP + MoO2(OH)-molybdopterin cofactor + 2 H+,EC-2.10.1.1,molybdate // adenylyl-molybdopterin // MoO<sub>2</sub>(OH)-molybdopterin cofactor // AMP // H<SUP>+</SUP>,MoO<sub>2</sub>(OH)-molybdopterin cofactor // AMP // H<SUP>+</SUP>,molybdopterin molybdotransferase,moeA,molybdenum cofactor biosynthesis
hypothiocyanous acid reductase,EC-1.6.99,NAD(P)H // hypothiocyanous acid // thiocyanate // NAD(P)<sup>+</sup> // H<sub>2</sub>O,thiocyanate // NAD(P)<sup>+</sup> // H<sub>2</sub>O,cupric reductase RclA,rclA,
a [elongation-Factor-P]-L-lysine + (R)-beta-lysine + ATP  ->  a [elongation-Factor-P]-N6-(beta-lysyl)-L-lysine + AMP + diphosphate + H+,EC-6.3.1,ATP // (R)-&beta;-lysine // a [elongation-Factor-P]-L-lysine // a [elongation-Factor-P]-<i>N</i><sup>6</sup>-(&beta;-lysyl)-L-lysine // AMP // diphosphate // H<SUP>+</SUP>,a [elongation-Factor-P]-<i>N</i><sup>6</sup>-(&beta;-lysyl)-L-lysine // AMP // diphosphate // H<SUP>+</SUP>,,,
tRNACys + L-cysteine + ATP  ->  L-cysteinyl-[tRNACys] + AMP + diphosphate,EC-6.1.1.16,ATP // L-cysteine // a tRNA<SUP>Cys</SUP> // an L-cysteinyl-[tRNA<SUP>Cys</SUP>] // diphosphate // AMP,an L-cysteinyl-[tRNA<SUP>Cys</SUP>] // diphosphate // AMP,cysteine&mdash;tRNA ligase,cysS,tRNA charging
antimonous acid  <-->  antimonite + 3 H+,,antimonous acid // antimonite // H<SUP>+</SUP>,antimonite // H<SUP>+</SUP>,,,
(3S)-3-hydroxyoctanoyl-CoA  <-->  (2E)-oct-2-enoyl-CoA + H2O,EC-4.2.1.74,(3<i>S</i>)-3-hydroxyoctanoyl-CoA // (2<i>E</i>)-oct-2-enoyl-CoA // H<sub>2</sub>O,(2<i>E</i>)-oct-2-enoyl-CoA // H<sub>2</sub>O,anaerobic multifunctional fatty acid oxidation complex subunit alpha // multifunctional fatty acid oxidation complex subunit alpha,,oleate &beta;-oxidation
histidinal + NAD+ + H2O  ->  L-histidine + NADH + 2 H+,,H<sub>2</sub>O // NAD<sup>+</sup> // histidinal // H<SUP>+</SUP> // L-histidine // NADH,H<SUP>+</SUP> // L-histidine // NADH,histidinal/histidinol dehydrogenase,hisD,L-histidine biosynthesis
NADH + H2O  ->  reduced beta-nicotinamide D-ribonucleotide + AMP + 2 H+,EC-3.6.1.22,H<sub>2</sub>O // NADH // H<SUP>+</SUP> // reduced &beta;-nicotinamide D-ribonucleotide // AMP,H<SUP>+</SUP> // reduced &beta;-nicotinamide D-ribonucleotide // AMP,RNA decapping hydrolase,nudC,
phosphoenolpyruvate + an [HPr]-L-histidine  ->  an [HPr protein]-Npi-phospho-L-histidine + pyruvate,,an [HPr]-L-histidine // phospho<i>enol</i>pyruvate // an [HPr protein]-<i>N<sup>&pi;</sup></i>-phospho-L-histidine // pyruvate,an [HPr protein]-<i>N<sup>&pi;</sup></i>-phospho-L-histidine // pyruvate,dihydroxyacetone kinase,dhaK // dhaL // dhaM,
HypF carbamoyltransferase,EC-6.2.1,H<sub>2</sub>O // ATP // a HypE [NiFe]-hydrogenase maturation protein // carbamoyl phosphate // a [HypE hydrogenase maturation protein]-<i>S</i>-carbamoyl-L-cysteine // AMP // diphosphate // phosphate // H<SUP>+</SUP>,a [HypE hydrogenase maturation protein]-<i>S</i>-carbamoyl-L-cysteine // AMP // diphosphate // phosphate // H<SUP>+</SUP>,carbamoyl--[HypE] ligase,hypF,NiFe(CO)(CN)<sub>2</sub> cofactor biosynthesis
a holo-[hydroxymethylbilane synthase] + porphobilinogen  ->  a holo [hydroxymethylbilane synthase] ES intermediate + ammonium,,porphobilinogen // a <i>holo</i>-[hydroxymethylbilane synthase] // a holo [hydroxymethylbilane synthase] ES intermediate // ammonium,a holo [hydroxymethylbilane synthase] ES intermediate // ammonium,hydroxymethylbilane synthase,hemC,
2 Fe2+ + 2 a siderophore + NADP+  <-  2 a siderophore-bound Fe(III) + NADPH + H+,EC-1.16.1.9,NADP<sup>+</sup> // a siderophore // Fe<sup>2+</sup> // a siderophore-bound Fe(III) // NADPH // H<SUP>+</SUP>,Fe<sup>2+</sup> // a siderophore // NADP<sup>+</sup>,NADPH-dependent Fe(3+)-chelate reductase,nfeF,
a carboxylic ester + H2O  ->  an alcohol + a carboxylate + H+,EC-3.1.1.1,H<sub>2</sub>O // a carboxylic ester // an alcohol // a carboxylate // H<SUP>+</SUP>,an alcohol // a carboxylate // H<SUP>+</SUP>,carboxylesterase // pimeloyl-acyl carrier protein methyl ester esterase,bioH // yjfP,
D-mannopyranose + ATP  ->  D-mannopyranose 6-phosphate + ADP + H+,EC-2.7.1.7,ATP // D-mannopyranose // D-mannopyranose 6-phosphate // ADP // H<SUP>+</SUP>,D-mannopyranose 6-phosphate // ADP // H<SUP>+</SUP>,fructokinase,mak,
UDP-alpha-D-glucuronate + NAD+  ->  UDP-beta-L-threo-pentapyranos-4-ulose + CO2 + NADH,EC-1.1.1.305,NAD<sup>+</sup> // UDP-&alpha;-D-glucuronate // UDP-&beta;-L-threo-pentapyranos-4-ulose // CO<SUB>2</SUB> // NADH,UDP-&beta;-L-threo-pentapyranos-4-ulose // CO<SUB>2</SUB> // NADH,UDP-4-amino-4-deoxy-L-arabinose formyltransferase/UDP-glucuronate dehydrogenase,arnA,polymyxin resistance
"2-dehydro-3-deoxy-D-pentonate  ->  2,5-dioxopentanoate + H2O",EC-4.2.1.141,"2-dehydro-3-deoxy-D-pentonate // 2,5-dioxopentanoate // H<sub>2</sub>O","2,5-dioxopentanoate // H<sub>2</sub>O",,,D-arabinose degradation III // D-xylose degradation III
a 5-methylaminomethyl-2-(Se-phospho)selenouridine34 in tRNA + H2O  ->  a 5-methylaminomethyl-2-selenouridine34 in tRNA + phosphate,,H<sub>2</sub>O // a 5-methylaminomethyl-2-(<i>Se</i>-phospho)selenouridine<sup>34</sup> in tRNA // a 5-methylaminomethyl-2-selenouridine<sup>34</sup> in tRNA // phosphate,a 5-methylaminomethyl-2-selenouridine<sup>34</sup> in tRNA // phosphate,tRNA 2-selenouridine synthase,selU,tRNA-uridine<sup>34</sup> modifications (<i>E. coli</i>)
"all-trans-octaprenyl diphosphate + 1,4-dihydroxy-2-naphthoate + H+  ->  CO2 + demethylmenaquinol-8 + diphosphate",EC-2.5.1.74,"H<SUP>+</SUP> // 1,4-dihydroxy-2-naphthoate // all-<i>trans</i>-octaprenyl diphosphate // demethylmenaquinol-8 // diphosphate // CO<SUB>2</SUB>",demethylmenaquinol-8 // diphosphate // CO<SUB>2</SUB>,"1,4-dihydroxy-2-naphthoate octaprenyltransferase",menA,demethylmenaquinol-8 biosynthesis I
keto-D-fructose 6-phosphate  <-->  beta-D-fructofuranose 6-phosphate,,<i>keto</i>-D-fructose 6-phosphate // &beta;-D-fructofuranose 6-phosphate,&beta;-D-fructofuranose 6-phosphate,,,
<i>trans</i> hexadecenoyl-[acp] reductase,EC-1.3.1.9,NAD<sup>+</sup> // a palmitoyl-[acp] // a (2<i>E</i>)-hexadec-2-enoyl-[acp] // NADH // H<SUP>+</SUP>,a palmitoyl-[acp] // NAD<sup>+</sup>,enoyl-[acyl-carrier-protein] reductase,fabI,palmitate biosynthesis II (type II fatty acid synthase)
tetrahydropteroyl-[gamma-Glu](n) + L-glutamate + ATP  ->  tetrahydropteroyl-[gamma-Glu](n+1) + ADP + phosphate,EC-6.3.2.17,ATP // L-glutamate // a tetrahydrofolate // phosphate // ADP,a tetrahydrofolate // phosphate // ADP,folylpoly-&alpha;-glutamate synthetase // bifunctional folylpolyglutamate synthetase / dihydrofolate synthetase,folC,folate polyglutamylation
allantoate + 2 H+ + H2O  ->  (S)-ureidoglycine + ammonium + CO2,EC-3.5.3.9,H<sub>2</sub>O // allantoate // H<SUP>+</SUP> // (<i>S</i>)-ureidoglycine // ammonium // CO<SUB>2</SUB>,(<i>S</i>)-ureidoglycine // ammonium // CO<SUB>2</SUB>,allantoate amidohydrolase,allC,allantoin degradation to ureidoglycolate II (ammonia producing)
a [glutamine-synthetase]-L-tyrosine + ATP  ->  a [glutamine synthetase]-O4-(5'-adenylyl)-L-tyrosine + diphosphate,EC-2.7.7.42,ATP // a [glutamine-synthetase]-L-tyrosine // a [glutamine synthetase]-<i>O</i><sup>4</sup>-(5'-adenylyl)-L-tyrosine // diphosphate,a [glutamine synthetase]-<i>O</i><sup>4</sup>-(5'-adenylyl)-L-tyrosine // diphosphate,fused glutamine synthetase deadenylase/glutamine synthetase adenylyltransferase,glnE,
"selenophosphate + a 5-methylaminomethyl-2-(S-geranyl)thiouridine34 in tRNA  ->  a 5-methylaminomethyl-2-(Se-phospho)selenouridine34 in tRNA + (2E)-3,7-dimethylocta-2,6-diene-1-thiol",,"a 5-methylaminomethyl-2-(<i>S</i>-geranyl)thiouridine<sup>34</sup> in tRNA // selenophosphate // a 5-methylaminomethyl-2-(<i>Se</i>-phospho)selenouridine<sup>34</sup> in tRNA // (2E)-3,7-dimethylocta-2,6-diene-1-thiol","a 5-methylaminomethyl-2-(<i>Se</i>-phospho)selenouridine<sup>34</sup> in tRNA // (2E)-3,7-dimethylocta-2,6-diene-1-thiol",tRNA 2-selenouridine synthase,selU,tRNA-uridine<sup>34</sup> modifications (<i>E. coli</i>)
